1508	2	1	1	2	1	1	3	2	3	2	2	1	1	1	3	2	1	3
1526	1	1	1	1	2	2	3	1	3	1	1	1	1	1	2	3	2	1
1527	4	2	3	1	1	4	4	4	2	2	2	1	2	2	4	4	2	2
1528	4	4	1	1	3	4	4	2	4	2	1	1	3	2.02072262103333	2	3	2	1
1531	1	1	1	2	2	1	3	2	3	2	2	1	1	1	2	3	2	2
1545	2	3	2	2	2	3	3	2	2	2	2	3	1	2	3	3	2	1
1550	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	2	3
1556	1	2	2	1	1	1	1	1	3	3	3	3	1	1	2	2	2	9
1568	3	2	1	2	2	4	3	2	2	2	1	1	2	1	3	2	1	2
1570	2	1	1	2	3	3	3	2	3	1	1	1	2	1	4	2	2	3
1578	4	3	2	3	3	3	2	2	4	1	3	2	3	1	2	2	2	3
1580	1	2	2	3	1	2	4	4	4	3	3	3	2	2	2	3	1	2
1584	4	4	3	3	3	4	3	2	2	1	4	2	2	2	3	3	2	2
1597	2	3	1	2	2	2	2	3	3	2	3	1	2	1	2	2	2	2
1604	1	3	2	2	1	1	4	1	4	1	1	1	2	1	1	1	2	1
1606	3	3	3	4	3	4	4	3	4	3	2	3	4	3	3	2	1	1
1616	3	3	2	4	3	4	3	4	2	1	1	1	2	2	3	2	2	1
1621	1	1	1	2	2	3	4	2	1	3	3	1	2	1	1	3	2	1
1625	2	2	1	1	2	2	2	2	3	1	1	1	1	1	2	2	2	3
1626	2	1	1	1	2	2	2	3	2	2	3	2	2	1	2	2	2	2
1627	1	1	1	1	2	2	3	3	3	2	2	1	2	2	2	3	2	3
1640	1	1	1	3	3	2	4	3	2	2	2	1	1	1	2	2	2	2
1645	2	1	1	2	1	3	3	2	3	2	1	1	1	1	3	2	2	2
1656	1	1	1	1	1	1	1	2	3	3	2	2	1	1	1	1	2	3
1661	1	2	1	4	4	1	4	2	4	1	1	1	1	1	3	3	2	2
1672	4	2	1	3	3	3	2	2	2	1	1	2	1	1	1	1	2	2
1681	1	1	1	2	2	2	1	1	2	1	1	2	1	1	1	1	2	3
1695	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2
1702	1	1	1	1	1	1	4	4	4	3	1	4	2.97847708243565	3	4	2	1	2
1706	4	3	1	3	4	1	4	2	3	2	2	1	1	1	4	2.46527934434384	2	3
1710	3	2	2	3	4	4	4	3.18953778663972	4	2	2	2	3	2	4	3	2	2
1712	2	1	1	4	3	4	3	4	3	3	1	1	1	1	1	3	2	2
1720	1	1	1	2	3	1	2	1	3	2	1	1	1	1	1	2	2	3
1732	1	1	1	2	2	1	1	2	3	2	2	1	1	1	2	2	2	3
1736	1	1	1	3	3	1	2	2	4	2	1	1	1	1	3	1	2	3
1740	1	2	2	4	2	2	4	2	2	2	2	2	2	2	2	2	1	2
1746	1	2	1	2	2	3	2	1	2	1	1	2	1	1	3	2	2	2
1765	3	2	2	2	2	3	2	2	3	1	2	1	1	1	2	2	2	2
1770	1	2	2	2	3	1	2	2	3	2	2	1	1	1	2	1	2	3
1788	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	3
1809	2	2	2	3	2	1	3	2	3	2	2	2	2	2	3	2	2	1
1810	1	2	2	2	2	2	2	3	3	3	3	3	2	2	2	1	2	1
1818	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	2	3
1830	3	2	2	2	3	4	2	2	2	2	2	1	2	1	2	2	2	3
1838	4	2	1	4	4	4	4	3	2	3	2	2	1	1	3	2	2	2
1864	1	2	1	4	4	1	4	4	4	4	3	1	1	1	4	4	1	2
1867	1	2	1	2	1	1	3	2	3	2	1	1	4	2	3	2	2	3
1869	3	3	2	4	4	4	2	2	3	1	2	1	2	2	2	1	2	3
1875	4	3	1	3	2	4	3	2	2	2	4	2	3	3	2	3	2	1
1889	2	2	2	2	3	2	2	2	3	1	1	1	1	1	3	1	2	3
1893	2	1	1	2	2	2	3	2	3	2	2	1	2	2	2	2	2	3
