921	1	1	3	2	1	1	3	2	1	3	2	2	3	1	2	1	3	3	2
945	3	2	3	3	3	2	2	2	2	2	2	3	3	2	3	2	3	2	2
984	1	1	2	3	2	1	2	2	1	2	2	3	1	1	1	1	3	4	1
990	2	2	1	4	4	2	4	4	4	4	1	2	1	4	2	2	1	2	1
995	2	1	1	2	3	2	2	2	1	2	1	1	1	1	1	1	3	3	2
1029	2	2	4	4	3	4	4	4	4	2	4	4	2	2	2	2	2	2	3
1053	2	2	2	2	1	2	3	3	3	2	4	3	2	2	2	2	3	3	1
1103	2	1	1	1	1	3	3	1	1	3	2	4	3	2	1	1	3	2	2
1132	1	1	1	1	1	2	2	2	2	1	2	2	2	1	1	1	2	3	1
1166	3	2	3	3	1	1	3	3	3	3	3	3	1	1	3	1	3	2	3
1169	1	1	1	2	1	4	2	1	2	1	1	1	1	1	2	1	4	4	1
1180	1	1	1	3	2	2	3	2	1	2	3	2	2	2	2	2	4	2	2
1184	3	2	2	3	3	3	1	1	2	1	4	4	2	1	1	1	3	3	2
1280	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	4	4	3
1326	2	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	3	4	3
1364	2	1	3	2	1	1	4	3	1	1	1	1	1	1	2	1	2	2	2
1365	2	1	4	3	3	1	4	2	4	2	4	1	2	1	4	1	2	1	2
1369	2	2	4	2	3	4	2	2	4	2	2	2	1	1	1	1	2	3	2
1375	1	1	1	2	1	1	2	1	2	1	2	2	1	1	99	99	3	3	2
1398	1	1	99	4	3	4	4	4	4	4	1	1	1	1	99	1	1	1	2
1432	1	1	2	3	2	3	3	3	4	2	1	1	2	1	2	2	3	3	2
1461	4	4	4	4	1	1	4	4	4	4	4	4	1	4	1	1	4	4	1
1474	2	1	2	3	2	2	3	2	99	99	1	2	2	2	2	1	3	3	1
1497	2	2	1	2	1	2	2	1	1	1	2	2	2	1	1	1	4	4	2
1505	2	3	2	1	1	1	2	2	2	1	3	3	3	2	2	1	3	3	2
1512	4	3	3	2	1	2	3	3	3	3	2	3	2	1	2	2	2	2	2
1525	1	1	2	2	4	1	1	1	2	1	3	1	1	1	1	1	4	4	3
1530	2	2	2	2	3	3	2	2	3	3	4	3	2	3	2	2	2	3	3
1550	1	1	2	3	2	2	1	2	2	2	1	2	1	2	1	1	3	3	3
1563	3	2	4	4	1	1	3	3	2	2	4	3	2	2	2	1	2	2	2
1566	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	4	3	2
1594	1	2	2	2	2	1	2	1	2	2	3	2	2	1	1	1	2	2	2
1610	3	3	2	3	2	2	3	2	2	3	4	2	2	2	2	2	2	2	2
1633	2	2	2	2	2	1	3	2	4	3	2	2	1	2	3	99	3	2	2
1638	3	4	1	2	3	1	1	1	2	2	1	2	1	1	1	1	1	2	1
1639	1	1	2	2	4	3	4	3	4	4	2	3	2	1	3	2	1	1	1
1697	3	3	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2
1733	1	1	3	1	1	1	3	1	2	2	2	1	1	1	1	1	4	4	2
1740	1	1	2	2	3	3	2	2	2	2	2	2	2	2	1	1	3	3	3
1764	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	4	4	2
1780	2	4	1	2	4	4	2	1	4	2	3	3	2	2	2	99	2	2	2
1790	2	1	2	2	2	1	3	1	1	1	1	1	1	1	1	1	4	3	2
1838	3	3	3	1	4	1	3	3	3	3	3	3	3	1	1	3	2	3	2
1844	3	1	2	2	2	3	2	2	1	1	2	2	2	2	2	2	4	4	2
1876	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	4	4	2
1878	1	1	2	3	3	2	2	2	1	2	1	1	1	1	1	1	3	3	2
1882	2	1	3	4	2	2	2	1	2	2	3	2	2	1	3	2	3	3	1
1933	2	1	3	1	1	1	2	2	1	2	1	1	1	1	1	1	4	4	1
1958	1	1	4	4	4	1	4	4	4	4	4	4	4	4	4	4	1	1	1
1975	2	2	3	2	2	2	3	3	3	2	3	1	1	1	2	2	4	2	1
2013	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	1	4	4	2
2014	1	1	1	1	1	1	3	1	1	1	4	1	1	1	1	1	4	4	4
2056	2	1	2	3	1	1	2	2	3	2	3	3	2	1	1	1	3	3	2
2079	2	2	2	2	1	2	2	1	2	2	2	2	2	1	3	2	3	3	2
2122	2	3	4	2	1	2	4	2	4	1	2	1	1	1	2	1	2	2	1
2144	1	3	3	2	1	2	3	2	4	3	4	4	4	2	1	1	1	1	1
2145	3	4	4	2	4	4	2	4	2	4	4	4	2	3	1	1	4	3	2
