1153	6633	1	1	1	3	3	3	4.3	1	3
1155	7337	1	1	2	2	1	2	4.6	1.33333333333333	1.66666666666667
1159	2000	1	1	1	3	1	1	15.4	1	1.66666666666667
1178	14280	1	1	1	3	3	3	2.3	1	3
1180	14177	2	2	2	1	1	1	2	2	1
1189	16062	2	1	3	4	4	4	2.1	2	4
1196	8417	2	1	3	2	2	2	10.3	2	2
1200	7320	2	3	3	2	1	1	4.4	2.66666666666667	1.33333333333333
1203	14161	2	2	3	3	2	2	3.7	2.33333333333333	2.33333333333333
1208	5754	2	2	3	1	2	2	9.2	2.33333333333333	1.66666666666667
1209	15202	1	1	2	2	1	2	3.3	1.33333333333333	1.66666666666667
1215	12070	1	2	4	3	2	4	1.2	2.33333333333333	3
1225	16069	3	3	3	3	2	2	1.5	3	2.33333333333333
1226	12066	1	1	1	4	3	3	2.5	1	3.33333333333333
1228	8435	2	4	4	1	1	2	10.1	3.33333333333333	1.33333333333333
1242	16069	1	1	1	4	1	4	1.5	1	3
1244	8111	2	3	2	2	2	2	24.5	2.33333333333333	2
1247	12061	2	2	2	4	2	4	2.2	2	3.33333333333333
1263	15303	1	1	2	3	4	4	2.8	1.33333333333333	3.66666666666667
1265	9178	3	3	2	4	2	2	12.4	2.66666666666667	2.66666666666667
1266	7333	2	2	4	4	99	2	6.1	2.66666666666667	3
1271	13059	1	1	3	3	1	2	1.7	1.66666666666667	2
1272	15202	2	3	4	2	2	3	3.3	3	2.33333333333333
1286	8235	2	3	3	3	2	2	12.2	2.66666666666667	2.33333333333333
1289	5711	2	3	2	1	1	2	13	2.33333333333333	1.33333333333333
1292	5974	2	2	3	1	2	1	7.7	2.33333333333333	1.33333333333333
1296	9187	2	3	4	2	99	99	6.8	3	2
1307	16054	2	2	2	3	3	3	2.2	2	3
1308	5711	3	3	4	1	1	1	13	3.33333333333333	1
1311	7317	2	3	3	3	99	3	8.8	2.66666666666667	3
1314	3351	2	1	3	2	2	3	5.9	2	2.33333333333333
1324	13051	1	1	2	3	1	4	1.4	1.33333333333333	2.66666666666667
1330	16066	1	1	1	3	3	3	1.1	1	3
1331	9761	2	3	3	3	2	3	17.9	2.66666666666667	2.66666666666667
1336	3152	2	1	2	3	2	3	7.6	1.66666666666667	2.66666666666667
1342	6432	1	1	3	4	99	4	11.4	1.66666666666667	4
1351	15202	1	2	3	1	2	1	3.3	2	1.33333333333333
1359	14181	1	1	1	3	2	3	1.1	1	2.66666666666667
1360	5113	2	4	2	2	2	2	11.4	2.66666666666667	2
1367	4011	3	2	3	2	1	1	12.3	2.66666666666667	1.33333333333333
1371	9562	1	1	4	4	2	3	14.6	2	3
1375	5970	1	1	2	3	2	2	8.9	1.33333333333333	2.33333333333333
1377	7312	2	2	3	3	2	1	10.4	2.33333333333333	2
1378	16065	1	1	1	2	2	2	1.3	1	2
1379	16074	2	2	2	2	2	2	1.4	2	2
1382	2000	1	2	1	2	2	4	15.4	1.33333333333333	2.66666666666667
1384	14287	1	1	1	4	4	4	1.5	1	4
1387	13003	1	1	4	1	1	2	2.6	2	1.33333333333333
1388	5970	3	3	4	2	1	1	8.9	3.33333333333333	1.33333333333333
1391	18100	2	2	3	2	1	2	12.8	2.33333333333333	1.66666666666667
1394	14191	1	1	1	2	1	2	1.1	1	1.66666666666667
1407	3462	2	1	1	3	2	4	4.2	1.33333333333333	3
1410	9777	2	2	3	4	3	3	5.6	2.33333333333333	3.33333333333333
1424	9186	2	2	3	2	3	1	6.4	2.33333333333333	2
1425	14166	1	1	2	4	4	4	1.8	1.33333333333333	4
1432	5112	2	2	2	2	2	2	17.3	2	2
1433	7211	2	3	2	2	1	2	8.3	2.33333333333333	1.66666666666667
1446	3459	2	1	1	3	2	99	4.9	1.33333333333333	2.5
1450	5362	1	2	3	1	2	1	11.6	2	1.33333333333333
